X Y Z
1.216802324098289013e+06 3.421105089052912081e+05 3.582048704504390571e+03
1.216802394778700080e+06 3.421125256086227018e+05 3.581971459380395117e+03
1.216802462610807270e+06 3.421145422864804859e+05 3.581894400204478643e+03
1.216802440896329470e+06 3.421165580631623743e+05 3.581817526976640693e+03
1.216802331565226195e+06 3.421185729580910411e+05 3.581625039696881231e+03
1.216802348932139343e+06 3.421205890387666877e+05 3.581548538365200329e+03
1.216802284934593597e+06 3.421225910562453791e+05 3.581472222981597952e+03
1.216801773057635874e+06 3.421245430250221398e+05 3.581396093546074098e+03
1.216801292062811553e+06 3.421265026828746195e+05 3.581320150058628769e+03
1.216800825985343894e+06 3.421284660537527525e+05 3.581244392519261964e+03
1.216800366369490046e+06 3.421304310130243539e+05 3.581168820927973684e+03
1.216800091361396248e+06 3.421324218663179199e+05 3.581093435284763927e+03
1.216799965394527419e+06 3.421344350504460162e+05 3.581018235589632695e+03
1.216799814944604179e+06 3.421364469829776790e+05 3.580943221842579987e+03
1.216799659364050254e+06 3.421384588360302732e+05 3.580868394043605804e+03
1.216799325880409218e+06 3.421404489939532359e+05 3.580909552192710180e+03
1.216799052267725114e+06 3.421424470070748357e+05 3.580835096289893045e+03
1.216798849241892807e+06 3.421444542813437874e+05 3.580760826335154889e+03
1.216798733452361310e+06 3.421464676423663623e+05 3.580686742328494802e+03
1.216798662531325128e+06 3.421484841340063140e+05 3.580612844269913239e+03
1.216798693946986459e+06 3.421505012801350094e+05 3.580539132159410201e+03
1.216798745868465398e+06 3.421525185574074858e+05 3.580465605996986142e+03
1.216798701819377020e+06 3.421545358315987978e+05 3.580392265782640152e+03
1.216798647792884614e+06 3.421565531054697349e+05 3.580319111516372686e+03
1.216798735493241344e+06 3.421585687994123437e+05 3.580361943198184235e+03
1.216798712448032107e+06 3.421605842278361670e+05 3.580289160828073818e+03
1.216798610451648012e+06 3.421625994848691043e+05 3.580216564406042380e+03
1.216798301974231377e+06 3.421645911087896675e+05 3.580144153932089012e+03
1.216798088754764758e+06 3.421665875262342161e+05 3.580071929406214622e+03
1.216798157561135245e+06 3.421686043398876791e+05 3.579999890828418302e+03
1.216798265996682923e+06 3.421706187720633461e+05 3.579928038198700960e+03
1.216798439142737072e+06 3.421726293155224994e+05 3.579856371517061689e+03
1.216798668546275236e+06 3.421746333946337109e+05 3.579784890783501396e+03
1.216798956349561224e+06 3.421766307632371900e+05 3.579713595998019628e+03
1.216799106658737408e+06 3.421786397460164735e+05 3.579642487160615929e+03
1.216799161108665867e+06 3.421806568260600907e+05 3.579571564271291209e+03
1.216799165000148350e+06 3.421826743240531068e+05 3.579385027330044977e+03
1.216799151278334903e+06 3.421846917502395227e+05 3.579314476336877306e+03
1.216799066573864548e+06 3.421867077542504994e+05 3.579244111291787704e+03
1.216798945857091807e+06 3.421887213551261812e+05 3.579173932194777080e+03
1.216798758497005329e+06 3.421907305088296998e+05 3.579103939045844982e+03
1.216798695501784561e+06 3.421927447132607922e+05 3.579034131844991407e+03
1.216798721108838916e+06 3.421947625160229509e+05 3.578964510592216357e+03
1.216798792528927093e+06 3.421967788388524787e+05 3.578779275287519795e+03
1.216798893131097779e+06 3.421987942189913592e+05 3.578710025930901793e+03
1.216798908691788092e+06 3.422008109798277728e+05 3.578640962522362315e+03
1.216798877319724765e+06 3.422028285026443773e+05 3.578572085061901362e+03
1.216798906987493858e+06 3.422048457388030365e+05 3.578503393549518933e+03
1.216798943421078846e+06 3.422068629464555415e+05 3.578434887985215028e+03
1.216798946197940735e+06 3.422088804250566754e+05 3.578250768368989611e+03
1.216798934785427991e+06 3.422108978337937733e+05 3.578182634700842755e+03
1.216798882112106308e+06 3.422129150393751916e+05 3.578114686980774422e+03
1.216798883442985825e+06 3.422149310844741995e+05 3.578046925208785069e+03
1.216799022672503488e+06 3.422169441663050093e+05 3.577979349384873785e+03
1.216799215011825552e+06 3.422189521173203248e+05 3.577911959509041026e+03
1.216799452589299763e+06 3.422209556979825138e+05 3.577728955581286755e+03
1.216799610949630151e+06 3.422229655137145310e+05 3.577661937601611498e+03
1.216799686171330046e+06 3.422249818731712876e+05 3.577595105570014312e+03
1.216799721743214875e+06 3.422269989263287862e+05 3.577528459486495649e+03
1.216799708206668263e+06 3.422290168386721052e+05 3.577461999351055965e+03
1.216799724932174897e+06 3.422310343973480631e+05 3.577395725163694351e+03
1.216799785058000125e+06 3.422330514488120098e+05 3.577329636924411261e+03
1.216799863911889261e+06 3.422350677891849773e+05 3.577263734633207150e+03
1.216799951757597970e+06 3.422370837881451589e+05 3.577198018290081109e+03
1.216800107244111132e+06 3.422390950599819189e+05 3.577016687895034011e+03
1.216800284128089435e+06 3.422411048364423914e+05 3.576951343448065018e+03
1.216800347650247626e+06 3.422431206670454703e+05 3.576886184949175004e+03
1.216800375778960064e+06 3.422451383878525230e+05 3.576821212398363514e+03
1.216800397319554118e+06 3.422471562560859602e+05 3.576756425795630093e+03
1.216800417690526461e+06 3.422491741504928214e+05 3.576691825140975652e+03
1.216800509405354969e+06 3.422511898970841430e+05 3.576627410434399735e+03
1.216800614752298454e+06 3.422532051090539317e+05 3.576563181675901888e+03
1.216800751286150888e+06 3.422552184819678077e+05 3.576499138865483019e+03
1.216800877086648718e+06 3.422572324616519618e+05 3.576435282003142675e+03
1.216800980231191963e+06 3.422592477221065201e+05 3.576371611088880854e+03
1.216801078160783742e+06 3.422612632600968354e+05 3.576308126122697104e+03
1.216801165205390425e+06 3.422632793773780577e+05 3.576244827104592332e+03
1.216801258482905338e+06 3.422652952061945107e+05 3.576181714034566085e+03
1.216801358390248613e+06 3.422673107281763805e+05 3.576118786912618361e+03
1.216801515711568296e+06 3.422693222944783047e+05 3.576056045738749162e+03
1.216801690234012203e+06 3.422713326818848727e+05 3.575993490512958488e+03
1.216801801953490824e+06 3.422733475735514658e+05 3.575931121235246337e+03
1.216801908751846757e+06 3.422753626876511844e+05 3.575868937905612711e+03
1.216801979180407710e+06 3.422773794456541073e+05 3.575806940524057609e+03
1.216802055424035527e+06 3.422793959341376321e+05 3.575745129090581031e+03
1.216802172227324918e+06 3.422814105427426985e+05 3.575683503605182977e+03
1.216802308758305386e+06 3.422834233225763310e+05 3.575622064067863448e+03
1.216802564154774416e+06 3.422854250834917184e+05 3.575560810478622443e+03
1.216802816428866703e+06 3.422874272126855212e+05 3.575499742837459962e+03
1.216803061289808946e+06 3.422894302162460517e+05 3.575438861144376460e+03
1.216803354130496271e+06 3.422914258280866779e+05 3.575378165399371028e+03
1.216803726034966530e+06 3.422934092594262329e+05 3.575317655602444120e+03
1.216804011677076574e+06 3.422954052375599276e+05 3.575257331753595736e+03
1.216804220673491247e+06 3.422974123637511511e+05 3.575197193852826331e+03
1.216804507943133125e+06 3.422994084830107167e+05 3.575137241900134995e+03
1.216804860485390760e+06 3.423013954235095880e+05 3.575077475895522184e+03
1.216805274147578748e+06 3.423033702098075883e+05 3.575017895838988352e+03
1.216805690892854240e+06 3.423053443505610339e+05 3.574958501730532589e+03
1.216806039067801088e+06 3.423073320041270927e+05 3.574899293570155805e+03
1.216806390203207033e+06 3.423093191802950460e+05 3.574840271357857091e+03
1.216806743152481969e+06 3.423113060639618780e+05 3.574781435093637356e+03
1.216807179261221550e+06 3.423132763676544419e+05 3.574722784777495690e+03
1.216807616743304068e+06 3.423152463477250421e+05 3.574664320409433003e+03
1.216808064227735624e+06 3.423172139680514811e+05 3.574606041989448386e+03
1.216808511896921555e+06 3.423191814976193127e+05 3.574547949517542747e+03
1.216808960479611997e+06 3.423211485784377437e+05 3.574490042993715633e+03
1.216809409501353046e+06 3.423231155522747431e+05 3.574316522417966553e+03
1.216809863146655727e+06 3.423250813995086355e+05 3.574258987790296487e+03
1.216810316791958176e+06 3.423270472467424697e+05 3.574201639110704946e+03
1.216810519265130162e+06 3.423290529540461721e+05 3.574144476379191929e+03
1.216810709588825703e+06 3.423310604850074160e+05 3.573971699595756945e+03
1.216811257685160730e+06 3.423330019591386081e+05 3.573914908760400976e+03
1.216811805781496223e+06 3.423349434332698584e+05 3.573858303873123532e+03
1.216812226573245134e+06 3.423369163129791850e+05 3.573686084933924576e+03
1.216812635154833086e+06 3.423388922048907843e+05 3.573629851942804180e+03
1.216812971004085615e+06 3.423408813305235235e+05 3.573573804899762308e+03
1.216813287261498626e+06 3.423428740209110547e+05 3.573517943804798961e+03
1.216813533217240125e+06 3.423448760720514692e+05 3.573462268657914137e+03
1.216813764231185196e+06 3.423468795335645555e+05 3.573290979459107803e+03
1.216814244880020386e+06 3.423488390459569055e+05 3.573235676208380028e+03
1.216814709573809756e+06 3.423508022383059724e+05 3.573180558905730777e+03
1.216815125687727472e+06 3.423527766353748739e+05 3.573125627551160051e+03
1.216815532328689937e+06 3.423547529580537812e+05 3.573070882144667848e+03
1.216815920119586866e+06 3.423567331124697812e+05 3.573016322686254171e+03
1.216816331271714065e+06 3.423587076822942472e+05 3.572846149175918981e+03
1.216816872204882558e+06 3.423606512274638517e+05 3.572791961613662352e+03
1.216817407912486698e+06 3.423625961421972606e+05 3.572737959999484701e+03
1.216817875237067929e+06 3.423645589793798863e+05 3.572684144333385120e+03
1.216818335719044786e+06 3.423665234545078129e+05 3.572630514615364518e+03
1.216818779943814501e+06 3.423684918211975018e+05 3.572461270845421950e+03
1.216819195897900267e+06 3.423704659135650145e+05 3.572408013023558397e+03
1.216819549000757048e+06 3.423724527352277655e+05 3.572354941149772912e+03
1.216819845496106660e+06 3.423744474984938861e+05 3.572302055224065953e+03
1.216820051945271902e+06 3.423764548945558490e+05 3.572249355246437972e+03
1.216820332548958482e+06 3.423784518759207567e+05 3.572196841216888060e+03
1.216820617114062654e+06 3.423804391651495825e+05 3.572144513135417128e+03
1.216820301764654694e+06 3.423824322209616657e+05 3.572092371002024265e+03
1.216820147149557481e+06 3.423844361255156109e+05 3.572156214816710417e+03
1.216820191437581088e+06 3.423864534550104290e+05 3.572104444579474148e+03
1.216820011518676998e+06 3.423884587800571462e+05 3.572052860290317767e+03
1.216819862372580683e+06 3.423904647651936393e+05 3.572001461949239456e+03
1.216819943134698551e+06 3.423924809039407410e+05 3.571950249556239214e+03
1.216820012756315991e+06 3.423944973977784393e+05 3.571899223111317951e+03
1.216820079793105600e+06 3.423965139723428292e+05 3.571964182614474794e+03
1.216820166817027610e+06 3.423985298856183654e+05 3.571913528065710125e+03
1.216820229785949690e+06 3.424005464537127991e+05 3.571863059465024435e+03
1.216820269730400061e+06 3.424025636485732975e+05 3.571812776812417269e+03
1.216820386353584472e+06 3.424045781134623103e+05 3.571762680107888627e+03
1.216820472250082763e+06 3.424065938655706123e+05 3.571712769351438055e+03
1.216820519685378298e+06 3.424086112287130090e+05 3.571778844543066498e+03
1.216820510245156009e+06 3.424106286254729494e+05 3.571729305682773429e+03
1.216820468690409325e+06 3.424126460412148735e+05 3.571679952770558884e+03
1.216820122990809381e+06 3.424146322103040875e+05 3.571630785806422864e+03
1.216819805920510087e+06 3.424163041779369814e+05 3.571697604790365403e+03
1.216819703893003752e+06 3.424183190567957354e+05 3.571648809722386432e+03
1.216819741027751938e+06 3.424203332444562111e+05 3.571600200602485984e+03
1.216819793905245140e+06 3.424223455997544806e+05 3.571551777430664060e+03
1.216819642115233932e+06 3.424243578248516424e+05 3.571503540206920661e+03
1.216819275718769524e+06 3.424263392485302174e+05 3.571571288931255822e+03
1.216818900956174824e+06 3.424283211192779127e+05 3.571523423603669471e+03
1.216818570044737542e+06 3.424303114212478395e+05 3.571475744224162099e+03
1.216818050839585951e+06 3.424322526630863431e+05 3.571428250792732797e+03
1.216817367782609304e+06 3.424341512131541385e+05 3.571380943309382019e+03
1.216816482996111270e+06 3.424359611539319158e+05 3.571449621774109801e+03
1.216815512512206566e+06 3.424377240448718658e+05 3.571402686186916526e+03
1.216814220934219658e+06 3.424392731997200754e+05 3.571355936547801321e+03
1.216813117235034704e+06 3.424409567528571934e+05 3.571425172856764675e+03
1.216812056122568436e+06 3.424426711589135230e+05 3.571378795113806973e+03
1.216810843978188466e+06 3.424442835712240776e+05 3.571332603318927340e+03
1.216809633012119215e+06 3.424458964494575048e+05 3.571402397472126268e+03
1.216808424852868309e+06 3.424475104375518276e+05 3.571356577573404138e+03
1.216807140499545727e+06 3.424490612286388641e+05 3.571426743622760114e+03
1.216805780491380021e+06 3.424505492699660826e+05 3.571381295620195033e+03
1.216804392883968074e+06 3.424520109027716098e+05 3.571451833565708057e+03
1.216802986512729665e+06 3.424534545812850702e+05 3.571406757459300024e+03
1.216801381390419556e+06 3.424546665104768472e+05 3.571477667300970097e+03
1.216799742304948624e+06 3.424558388376709190e+05 3.571432963090719113e+03
1.216798398868547520e+06 3.424573388330051675e+05 3.571504244828546689e+03
1.216797013843290275e+06 3.424587961039171787e+05 3.571459912514452299e+03
1.216795464544586837e+06 3.424600830465935869e+05 3.571531566148436923e+03
1.216793885059213033e+06 3.424613293326194398e+05 3.571603405730499617e+03
1.216792203607403208e+06 3.424624382860530168e+05 3.571559631260641254e+03
1.216790523290290730e+06 3.424635488818212762e+05 3.571631842738860996e+03
1.216788851566003868e+06 3.424646719146462856e+05 3.571704240165159717e+03
1.216787179841717007e+06 3.424657949474713532e+05 3.571661023539536927e+03
1.216785459042757284e+06 3.424668416520947358e+05 3.571733792861992697e+03
1.216783737916321261e+06 3.424678878473788500e+05 3.571806748132526991e+03
1.216781978982368717e+06 3.424688688253496657e+05 3.571764089351139319e+03
1.216780209694940597e+06 3.424698319437546888e+05 3.571837416517830661e+03
1.216778495475978591e+06 3.424708847874317435e+05 3.571910929632600528e+03
1.216776829373299377e+06 3.424720160289077903e+05 3.571868828695448883e+03
1.216775134463347727e+06 3.424731002744748839e+05 3.571942713706375798e+03
1.216773397373029497e+06 3.424741157073944923e+05 3.572016784665381238e+03
1.216771739570097532e+06 3.424752537505059736e+05 3.572091041572465201e+03
1.216770110012310091e+06 3.424764354719718685e+05 3.572049684427628108e+03
1.216768537535553565e+06 3.424776871337646153e+05 3.572124313230869120e+03
1.216766930161691969e+06 3.424788925385976327e+05 3.572199127982188656e+03
1.216765254257305060e+06 3.424800083198170760e+05 3.572274128681586717e+03
1.216763571251016576e+06 3.424811135160430567e+05 3.572349315329062847e+03
1.216761877517168410e+06 3.424822027234321577e+05 3.572308887924617920e+03
1.216760164271871094e+06 3.424832596613516216e+05 3.572384446468252008e+03
1.216758403979413910e+06 3.424842387892181287e+05 3.572460190959964166e+03
1.216756653470621677e+06 3.424852332494208240e+05 3.572420321399754812e+03
1.216754979146550875e+06 3.424863471014639945e+05 3.572496437787624473e+03
1.216753301298037637e+06 3.424874545539726969e+05 3.572572740123572203e+03
1.216751592621201649e+06 3.424885098461053567e+05 3.572649228407598457e+03
1.216749783301479882e+06 3.424893965016811271e+05 3.572725902639703691e+03
1.216747992761112284e+06 3.424903206227100454e+05 3.572686962819886958e+03
1.216746182966453256e+06 3.424912003502741572e+05 3.572764008948149240e+03
1.216744327860902296e+06 3.424919738027818967e+05 3.572725441024489555e+03
1.216742623957733857e+06 3.424930513821498025e+05 3.572802859048908886e+03
1.216740860800741240e+06 3.424940284058830002e+05 3.572764663021406250e+03
1.216739078440472949e+06 3.424949728410434909e+05 3.572842452941982629e+03
1.216737276139356196e+06 3.424958759954547277e+05 3.572804628810637496e+03
1.216735473443110939e+06 3.424967776066127699e+05 3.572766990627370433e+03
1.216733710593454307e+06 3.424977520575618837e+05 3.572845338392182384e+03
1.216731929245468462e+06 3.424986907572206692e+05 3.572923872105072860e+03
1.216730111992375460e+06 3.424995600639134645e+05 3.572886791766041370e+03
1.216728327093216125e+06 3.425004904055814841e+05 3.572965697375088894e+03
1.216726575069082202e+06 3.425014827652517706e+05 3.573044788932214487e+03
1.216724943549349671e+06 3.425026549910281319e+05 3.573124066437419060e+03
1.216723313010370824e+06 3.425038225401769741e+05 3.573087729890702121e+03
1.216721485456048045e+06 3.425046580677944003e+05 3.573167379292063742e+03
1.216719612721170299e+06 3.425053814179155743e+05 3.573247214641503433e+03
1.216717719779457198e+06 3.425060556077217334e+05 3.573327235939022103e+03
1.216715864825573284e+06 3.425068295484702103e+05 3.573407443184619297e+03
1.216714009604490362e+06 3.425076075798778329e+05 3.573487836378295015e+03
1.216712168346292572e+06 3.425084163161985925e+05 3.573568415520049257e+03
1.216710373121501412e+06 3.425093186676239711e+05 3.573649180609882023e+03
1.216708693669988075e+06 3.425104331099131959e+05 3.573614331647793279e+03
1.216707371026610956e+06 3.425118790583885275e+05 3.573695468633783548e+03
1.216706375794621650e+06 3.425136315132573363e+05 3.573660991567851852e+03
1.216705345329344273e+06 3.425153610717344563e+05 3.573742500449998715e+03
1.216704229042904219e+06 3.425170251869813073e+05 3.573824195280224103e+03
1.216703368902514223e+06 3.425188438802054152e+05 3.573906076058528015e+03
1.216702575162198860e+06 3.425206947987212334e+05 3.573872342784909961e+03
1.216702320550212404e+06 3.425226426610479830e+05 3.573954595459371376e+03
1.216701868641217239e+06 3.425245650419986341e+05 3.574037034081910861e+03
1.216701331128482940e+06 3.425264939069112297e+05 3.574119658652528869e+03
1.216701049629322719e+06 3.425284873960945988e+05 3.574202469171225857e+03
1.216700829958184157e+06 3.425304855467473972e+05 3.574169665638000879e+03
1.216700268294513691e+06 3.425324218210218241e+05 3.574252848052854461e+03
1.216699570382915437e+06 3.425343108166247839e+05 3.574220416415786985e+03
1.216699475333968643e+06 3.425363048423720174e+05 3.574303970726797615e+03
1.216698224004043266e+06 3.425378814780858229e+05 3.574271910985887189e+03
1.216697499333798885e+06 3.425397643348462298e+05 3.574240037193054832e+03
1.216696688811334549e+06 3.425416105955070816e+05 3.574324149348301489e+03
1.216695773829428945e+06 3.425434075783438748e+05 3.574292647451626181e+03
1.216695253653052263e+06 3.425453319818876917e+05 3.574377131503029887e+03
1.216694737403184175e+06 3.425472499387235730e+05 3.574346001502512081e+03
1.216693699540688889e+06 3.425489774351926171e+05 3.574430857450072381e+03
1.216692758084680187e+06 3.425507594009241438e+05 3.574400099345711624e+03
1.216691073560612043e+06 3.425516675528638298e+05 3.574485327189429427e+03
1.216690301024201792e+06 3.425534215151375975e+05 3.574570740981225299e+03
1.216689497558055446e+06 3.425552657530237339e+05 3.574540540721100115e+03
1.216688207419339335e+06 3.425567227814364014e+05 3.574626326409053490e+03
1.216686791282356018e+06 3.425581454168205382e+05 3.574596498045085355e+03
1.216685464596732287e+06 3.425596625101194950e+05 3.574682655629195324e+03
1.216684191576131620e+06 3.425612259341800818e+05 3.574653199161383782e+03
1.216683229197824607e+06 3.425629886516738916e+05 3.574739728641651254e+03
1.216682572943144944e+06 3.425648928938776953e+05 3.574826444069997251e+03
1.216681712423578836e+06 3.425667129674601601e+05 3.574797545446421736e+03
1.216681035715588601e+06 3.425686108824537951e+05 3.574884632770924782e+03
1.216679998617833480e+06 3.425703269561051857e+05 3.574856106043506315e+03
1.216679125315150246e+06 3.425721198146792594e+05 3.574943565264166409e+03
1.216678598020783626e+06 3.425740581863961415e+05 3.575031210432905027e+03
1.216678260683558648e+06 3.425760370100493892e+05 3.575119041549722169e+03
1.216677506468247622e+06 3.425779038893580437e+05 3.575091258614617800e+03
1.216677088944479357e+06 3.425798626122388523e+05 3.575179461627592445e+03
1.216676772472268669e+06 3.425818507010549074e+05 3.575267850588645160e+03
1.216676388217116240e+06 3.425838277271240368e+05 3.575240625497776364e+03
1.216675811644336442e+06 3.425857522506250534e+05 3.575329386354986127e+03
1.216675292470945045e+06 3.425876922977009672e+05 3.575418333160274415e+03
1.216674869339765515e+06 3.425896577981323935e+05 3.575507465913641681e+03
1.216674128051294712e+06 3.425915295721490402e+05 3.575480984615086982e+03
1.216673085123093100e+06 3.425932511970600463e+05 3.575570489264610842e+03
1.216672226153164869e+06 3.425950415247060591e+05 3.575544379862213646e+03
1.216671708504850278e+06 3.425969625263323542e+05 3.575518456407894519e+03
1.216670552549682790e+06 3.425986145470122574e+05 3.575608518901653952e+03
1.216670114151506685e+06 3.426005149512671633e+05 3.575582967343491873e+03
1.216669887649435783e+06 3.426025098132203566e+05 3.575673401733408355e+03
1.216669357818603283e+06 3.426044556588187115e+05 3.575648222071403779e+03
1.216668924461504444e+06 3.426064259290626505e+05 3.575623228357477274e+03
1.216668440036886605e+06 3.426083829408471938e+05 3.575714220591629783e+03
1.216667904819412157e+06 3.426103267654819065e+05 3.575689598773860780e+03
1.216667432128477842e+06 3.426122860444841208e+05 3.575780962904169883e+03
1.216667055036172038e+06 3.426142606195796980e+05 3.575756712982557929e+03
1.216666887591691688e+06 3.426162676533776103e+05 3.575848449009024534e+03
1.216666610651689349e+06 3.426182622437118553e+05 3.575824570983569174e+03
1.216666495107473340e+06 3.426202707919887034e+05 3.575916678906192828e+03
1.216666447150157765e+06 3.426222851853629691e+05 3.576008972776895007e+03
1.216666265553540550e+06 3.426242911361482693e+05 3.575985652595675219e+03
1.216666099277640227e+06 3.426262978581986390e+05 3.576078318362534446e+03
1.216666051356783835e+06 3.426283110827188357e+05 3.576171170077472198e+03
1.216665922047585249e+06 3.426303176885038847e+05 3.576148407740488437e+03
1.216665656588305952e+06 3.426323132221711567e+05 3.576241631351583237e+03
1.216665533882577671e+06 3.426343174719902454e+05 3.576335040910756561e+03
1.216665545438728994e+06 3.426363299194822321e+05 3.576428636418008409e+03
1.216665495371617842e+06 3.426383415972434450e+05 3.576406617873338746e+03
1.216665425320985261e+06 3.426403530253923382e+05 3.576500585276747643e+03
1.216665315532007720e+06 3.426423635745993233e+05 3.576594738628234609e+03
1.216665205542535987e+06 3.426443742350846878e+05 3.576689077927800554e+03
1.216665112029460957e+06 3.426463860446572653e+05 3.576667803175444988e+03
1.216665006927296054e+06 3.426483973084807512e+05 3.576762514371167981e+03
1.216664878528846428e+06 3.426504074752443121e+05 3.576857411514969499e+03
1.216664783700912958e+06 3.426524197218755144e+05 3.576836694606849505e+03
